tb5id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
1787,359,A6LGUTYKU314W,1,103,3,103306,6,51,0,0,,20
1788,360,A25BDZJ7E8I0PG,1,103,1,103101,1,100,100,100,,0
1789,360,A25BDZJ7E8I0PG,1,103,1,103102,2,100,100,100,,0
1790,360,A25BDZJ7E8I0PG,1,103,1,103103,3,100,100,100,,0
1791,360,A25BDZJ7E8I0PG,1,103,1,103104,4,100,100,100,,0
1792,365,A3J01A18AJBGKX,1,101,2,101201,1,89,67,58,,0
1793,365,A3J01A18AJBGKX,1,101,2,101202,2,67,65,65,,0
1794,365,A3J01A18AJBGKX,1,101,2,101203,3,62,64,42,,0
1795,365,A3J01A18AJBGKX,1,103,1,103101,1,79,60,78,,0
1796,365,A3J01A18AJBGKX,1,103,1,103102,2,57,83,54,,0
1797,365,A3J01A18AJBGKX,1,103,1,103103,3,97,91,57,,0
1798,367,A2NQOD21QCRKG0,1,102,1,102101,1,100,82,84,,53
1799,367,A2NQOD21QCRKG0,1,102,1,102102,2,100,78,88,,82
1800,367,A2NQOD21QCRKG0,1,102,1,102103,3,100,87,87,,71
1801,367,A2NQOD21QCRKG0,1,102,1,102104,4,100,80,85,,52
1802,367,A2NQOD21QCRKG0,1,102,1,102105,5,93,90,87,,66
1803,367,A2NQOD21QCRKG0,1,102,1,102106,6,100,85,88,,3
1804,367,A2NQOD21QCRKG0,1,103,2,103201,1,100,87,90,,75
1805,367,A2NQOD21QCRKG0,1,103,2,103202,2,95,93,90,,56
1806,367,A2NQOD21QCRKG0,1,103,2,103203,3,100,81,89,,166
1807,367,A2NQOD21QCRKG0,1,103,2,103204,4,100,82,90,,3
1808,367,A2NQOD21QCRKG0,1,101,3,101301,1,100,82,85,,79
1809,367,A2NQOD21QCRKG0,1,101,3,101302,2,100,82,83,,6
1810,364,AHJQDF8PAHVDP,1,101,1,101101,1,88,100,100,,64
1811,364,AHJQDF8PAHVDP,1,102,3,102301,1,100,100,100,,132
1812,364,AHJQDF8PAHVDP,1,103,2,103201,1,100,100,100,,187
1813,373,A2SVH0NMK7OE57,1,101,1,101101,1,74,98,88,,80
1814,373,A2SVH0NMK7OE57,1,101,1,101102,2,80,69,75,,91
1815,373,A2SVH0NMK7OE57,1,101,1,101103,3,66,51,52,,24
1816,373,A2SVH0NMK7OE57,1,102,2,102201,1,82,66,68,,56
1817,374,A3CB5YPZ1UAHVV,1,101,2,101201,1,60,71,73,,27
1818,374,A3CB5YPZ1UAHVV,1,101,2,101202,2,60,66,66,,23
1819,373,A2SVH0NMK7OE57,1,102,2,102202,2,75,70,62,,72
1820,374,A3CB5YPZ1UAHVV,1,101,2,101203,3,55,61,64,,21
1821,374,A3CB5YPZ1UAHVV,1,101,2,101204,4,58,57,59,,24
1822,374,A3CB5YPZ1UAHVV,1,101,2,101205,5,59,60,61,,12
1823,374,A3CB5YPZ1UAHVV,1,101,2,101206,6,67,63,62,,17
1824,373,A2SVH0NMK7OE57,1,102,2,102203,3,83,64,52,,87
1825,374,A3CB5YPZ1UAHVV,1,102,3,102301,1,63,64,61,,29
1826,374,A3CB5YPZ1UAHVV,1,102,3,102302,2,55,55,56,,26
1827,373,A2SVH0NMK7OE57,1,103,3,103301,1,61,56,44,,68
1828,374,A3CB5YPZ1UAHVV,1,102,3,102303,3,59,57,59,,15
1829,374,A3CB5YPZ1UAHVV,1,102,3,102304,4,72,64,63,,23
1830,374,A3CB5YPZ1UAHVV,1,102,3,102305,5,72,56,54,,29
1831,373,A2SVH0NMK7OE57,1,103,3,103302,2,74,62,55,,101
1832,374,A3CB5YPZ1UAHVV,1,102,3,102306,6,59,56,59,,34
1833,374,A3CB5YPZ1UAHVV,1,103,1,103101,1,40,90,58,,37
1834,373,A2SVH0NMK7OE57,1,103,3,103303,3,71,66,58,,67
1835,374,A3CB5YPZ1UAHVV,1,103,1,103102,2,63,66,63,,29
1836,374,A3CB5YPZ1UAHVV,1,103,1,103103,3,39,54,54,,18
1837,375,A35LPWCD76KZ5P,1,101,3,101301,1,100,95,85,,63
1838,374,A3CB5YPZ1UAHVV,1,103,1,103104,4,56,60,58,,35
1839,374,A3CB5YPZ1UAHVV,1,103,1,103105,5,41,38,58,,21
1840,375,A35LPWCD76KZ5P,1,101,3,101302,2,100,75,50,,37
1841,374,A3CB5YPZ1UAHVV,1,103,1,103106,6,59,58,60,,41
1842,375,A35LPWCD76KZ5P,1,103,1,103101,1,100,75,90,,81
1843,375,A35LPWCD76KZ5P,1,103,1,103102,2,85,100,80,,89
1844,375,A35LPWCD76KZ5P,1,103,1,103103,3,100,100,100,,45
1845,375,A35LPWCD76KZ5P,1,103,1,103104,4,100,100,100,,64
1846,375,A35LPWCD76KZ5P,1,103,1,103105,5,100,100,100,,64
1847,375,A35LPWCD76KZ5P,1,102,2,102201,1,100,100,85,,49
1848,375,A35LPWCD76KZ5P,1,102,2,102202,2,100,75,50,,84
1849,377,A13XS8F6QHRT6H,1,101,2,101201,1,99,71,67,,64
1850,375,A35LPWCD76KZ5P,1,102,2,102203,3,100,75,65,,55
1851,377,A13XS8F6QHRT6H,1,101,2,101202,2,97,72,74,,61
1852,377,A13XS8F6QHRT6H,1,101,2,101203,3,52,56,53,,2
1853,375,A35LPWCD76KZ5P,1,102,2,102204,4,100,80,80,,73
1854,377,A13XS8F6QHRT6H,1,101,2,101204,4,92,67,61,,52
1855,377,A13XS8F6QHRT6H,1,101,2,101205,5,80,70,62,,44
1856,377,A13XS8F6QHRT6H,1,102,1,102101,1,99,1,27,,43
1857,377,A13XS8F6QHRT6H,1,102,1,102102,2,88,59,63,,55
1858,377,A13XS8F6QHRT6H,1,102,1,102103,3,82,63,65,,54
1859,377,A13XS8F6QHRT6H,1,102,1,102104,4,79,61,60,,36
1860,377,A13XS8F6QHRT6H,1,103,3,103301,1,82,69,62,,59
1861,377,A13XS8F6QHRT6H,1,103,3,103302,2,79,44,46,,32
1862,377,A13XS8F6QHRT6H,1,103,3,103303,3,65,25,25,,29
1863,377,A13XS8F6QHRT6H,1,103,3,103304,4,79,27,18,,7
1864,378,A1MW350A7ECNSJ,1,102,3,102301,1,100,100,77,,87
1865,378,A1MW350A7ECNSJ,1,102,3,102302,2,100,0,0,,59
1866,378,A1MW350A7ECNSJ,1,102,3,102303,3,100,0,0,,53
1867,378,A1MW350A7ECNSJ,1,102,3,102304,4,100,0,0,,84
1868,378,A1MW350A7ECNSJ,1,102,3,102305,5,100,0,0,,67
1869,378,A1MW350A7ECNSJ,1,102,3,102306,6,100,0,0,,170
1870,378,A1MW350A7ECNSJ,1,101,2,101201,1,100,100,74,,96
1871,378,A1MW350A7ECNSJ,1,101,2,101202,2,100,51,49,,74
1872,379,A344DR7QJ4E3UI,1,101,1,101101,1,90,80,72,,89
1873,379,A344DR7QJ4E3UI,1,101,1,101102,2,72,87,68,,6
1874,379,A344DR7QJ4E3UI,1,102,2,102201,1,84,80,77,,75
1875,379,A344DR7QJ4E3UI,1,103,3,103301,1,91,87,90,,73
1876,381,A22HX7JGLXHJQG,1,101,3,101301,1,86,100,73,,111
1877,381,A22HX7JGLXHJQG,1,101,3,101302,2,93,66,76,,109
1878,381,A22HX7JGLXHJQG,1,101,3,101303,3,95,58,60,,71
1879,381,A22HX7JGLXHJQG,1,101,3,101304,4,94,59,60,,67
1880,381,A22HX7JGLXHJQG,1,101,3,101305,5,94,62,56,,124
1881,381,A22HX7JGLXHJQG,1,101,3,101306,6,98,57,58,,236
1882,383,A1FBK4DPFCXX2,1,102,2,102201,1,95,90,93,,0
1883,383,A1FBK4DPFCXX2,1,102,2,102202,2,84,83,80,,0
1884,383,A1FBK4DPFCXX2,1,102,2,102203,3,56,61,68,,0
1885,383,A1FBK4DPFCXX2,1,102,2,102204,4,71,59,55,,0
1886,383,A1FBK4DPFCXX2,1,102,2,102205,5,57,53,55,,0
1887,385,A1GLF2427E02YG,1,102,1,102101,1,89,87,82,,58
1888,385,A1GLF2427E02YG,1,102,1,102102,2,66,93,83,,115
1889,385,A1GLF2427E02YG,1,102,1,102103,3,34,93,74,,76
1890,385,A1GLF2427E02YG,1,103,2,103201,1,22,98,84,,88
1891,385,A1GLF2427E02YG,1,103,2,103202,2,25,75,68,,64
1892,385,A1GLF2427E02YG,1,103,2,103203,3,74,33,39,,54
1893,385,A1GLF2427E02YG,1,101,3,101301,1,66,96,86,,77
1894,386,A3FL0OFMUCA3BM,1,101,2,101201,1,100,82,100,,130
1895,386,A3FL0OFMUCA3BM,1,101,2,101202,2,100,62,66,,37
